,Country,City,Date,Max Temp,Cloudiness,Humid,Latitude,Longitude,Wind Speed
329,AR,Mercedes,1651936926,71.64,0,54,-34.6515,-59.4307,11.01
330,VU,Sola,1651936927,81.57,1,66,-13.8833,167.55,18.52
331,TH,Lang Suan,1651936927,80.46,100,88,9.9456,99.0785,8.68
332,US,Ketchikan,1651936928,43.27,75,81,55.3422,-131.6461,6.91
333,GE,Oni,1651936688,48.74,100,99,42.5794,43.4425,2.77
334,JP,Katsuura,1651936516,62.28,97,91,35.1333,140.3,4.47
335,GR,Corinth,1651936930,74.41,81,40,37.9407,22.9573,6.78
336,GH,Takoradze,1651936930,82.06,84,75,4.8845,-1.7554,7.36
337,CD,Boende,1651936931,88.16,50,54,-0.2167,20.8667,2.84
338,GB,Liverpool,1651936459,64.74,40,68,53.4106,-2.9779,11.5
339,US,Sedalia,1651936872,60.93,0,66,38.7045,-93.2283,9.17
340,BR,Boa Vista,1651936932,75.18,100,88,2.8197,-60.6733,2.3
341,UA,Lopatyn,1651936932,63.79,50,65,50.2202,24.8483,5.88
342,BR,São Félix do Xingu,1651936621,87.67,12,58,-6.6447,-51.995,3.53
343,RU,Oktyabr'skiy,1651936933,54.21,71,50,54.4815,53.471,1.16
344,CO,Pizarro,1651936934,83.08,61,71,4.9533,-77.366,4.81
345,MU,Quatre Cocos,1651936428,78.1,26,79,-20.2078,57.7625,14.79
346,NZ,Ahipara,1651936421,56.44,71,82,-35.1667,173.1667,3.11
347,ID,Waingapu,1651936935,79.7,44,87,-9.6567,120.2641,10.6
348,US,Tyler,1651936893,80.29,75,74,32.3513,-95.3011,12.66
349,GB,Belfast,1651936936,59.59,90,76,54.5833,-5.9333,5.75
350,US,Winslow,1651936937,73.58,0,14,35.0242,-110.6974,12.66
351,MY,George Town,1651936438,84.13,20,89,5.4112,100.3354,4.61
352,CN,Zhangjiakou,1651936938,44.55,100,67,40.81,114.8794,7.11
353,AO,Mossamedes,1651936418,77.31,37,63,-15.1961,12.1522,11.97
354,TR,Bitlis Province,1651936938,44.56,70,74,38.5,42.25,9.1
